Company1,Company2,,Total Confirmed Meetings
NYX Telecommunications Limited,Mert ARARAT,,53
NYX Telecommunications Limited,Sinem Dur,,41
NYX Telecommunications Limited,Selin Erdogan,,39
NYX Telecommunications Limited,Eren GULTEKIN,,24
LANCK TELECOM,Nataliya Abashina,,30
LANCK TELECOM,Alena BORISOVA,,18
LANCK TELECOM,Anna Tsareva,,17
LANCK TELECOM,Elena Kulikova,,15
LANCK TELECOM,Andrey Gribov,,14
OM TELENTIA LTD,Nisha Jaglan,,70
OM TELENTIA LTD,PRAMOD SAH,,69
Afinna ONE,Lana Kushnir,,33
Afinna ONE,Ivan Klimashevskyi ,,31
Afinna ONE,Massimo Lucera,,29
Afinna ONE,Vincenzo La Barbera,,28
Afinna ONE,Inna Afinogenova,,12
Gsoft Technologies LLC,Renees M.S.,,42
Gsoft Technologies LLC,Xavier Linoy,,32
Gsoft Technologies LLC,Siju VINCENT,,27
Gsoft Technologies LLC,Raj Mathew,,22
Gsoft Technologies LLC,Sibin Vincent,,13
WESTMOUNT TELECOM,Bella Barseghyan,,74
WESTMOUNT TELECOM,Victoria Asoyan,,58
LEXICO TELECOM LTD,Anna KUZMUK,,30
LEXICO TELECOM LTD,Erick PAZ,,26
LEXICO TELECOM LTD,Ekaterina Rizhik,,25
LEXICO TELECOM LTD,Evgeniya BYKOVA,,22
LEXICO TELECOM LTD,Alisa Sokolenko,,16
FoneBox USA Pte. Ltd.,Wahid Meer,,63
FoneBox USA Pte. Ltd.,Tanzina Haque Meghna,,46
SUNVONE PTE LTD,Daniel W ALIM,,61
SUNVONE PTE LTD,Ronald H KURNIAWAN,,43